name,japanese_name,pokedex_number,generation,type1,type2,fully_evolved,weight_kg,height_m,hp,attack,defense,sp_attack,sp_defense,speed,base_total,capture_rate,exp_growth,base_happiness,base_egg_steps,percentage_male,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,is_legendary
Metapod,Transelトランセル,11,1,bug,NT2,0,9.9,0.7,50,20,55,25,25,30,205,120.0,1000000,70,3840,50.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Butterfree,Butterfreeバタフリー,12,1,bug,flying,1,32.0,1.1,60,45,50,90,80,70,395,45.0,1000000,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0
Weedle,Beedleビードル,13,1,bug,poison,0,3.2,0.3,40,35,30,20,20,50,195,255.0,1000000,70,3840,50.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Kakuna,Cocoonコクーン,14,1,bug,poison,0,10.0,0.6,45,25,50,25,25,35,205,120.0,1000000,70,3840,50.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Beedrill,Spearスピアー,15,1,bug,poison,1,29.5,1.0,65,90,40,45,80,75,395,45.0,1000000,70,3840,50.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Pidgey,Poppoポッポ,16,1,normal,flying,0,1.8,0.3,40,45,40,35,35,56,251,255.0,1059860,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Pidgeotto,Pigeonピジョン,17,1,normal,flying,0,30.0,1.1,63,60,55,50,50,71,349,120.0,1059860,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Pidgeot,Pigeotピジョット,18,1,normal,flying,1,39.5,1.5,83,80,75,70,70,101,479,45.0,1059860,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Rattata,Korattaコラッタ,19,1,normal,dark,0,3.5,0.3,30,56,35,25,35,72,253,255.0,1000000,70,3840,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Raticate,Rattaラッタ,20,1,normal,dark,1,18.5,0.7,55,81,60,50,70,97,413,127.0,1000000,70,3840,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Spearow,Onisuzumeオニスズメ,21,1,normal,flying,0,2.0,0.3,40,60,30,31,31,70,262,255.0,1000000,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Fearow,Onidrillオニドリル,22,1,normal,flying,1,38.0,1.2,65,90,65,61,61,100,442,90.0,1000000,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Ekans,Arboアーボ,23,1,poison,NT2,0,6.9,2.0,35,60,44,40,54,55,288,255.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Arbok,Arbokアーボック,24,1,poison,NT2,1,65.0,3.5,60,95,69,65,79,80,448,90.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Pikachu,Pikachuピカチュウ,25,1,electric,NT2,1,6.0,0.4,35,55,40,50,50,90,320,190.0,1000000,70,2560,50.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Raichu,Raichuライチュウ,26,1,electric,electric,1,30.0,0.8,60,90,55,90,80,110,485,75.0,1000000,70,2560,50.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Sandshrew,Sandサンド,27,1,ground,ice,0,12.0,0.6,50,75,85,20,30,40,300,255.0,1000000,70,5120,50.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0
Sandslash,Sandpanサンドパン,28,1,ground,ice,1,29.5,1.0,75,100,110,45,55,65,450,90.0,1000000,70,5120,50.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0
Nidoran♀,Nidoran?ニドラン♀,29,1,poison,NT2,0,7.0,0.4,55,47,52,40,40,41,275,235.0,1059860,70,5120,0.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Nidorina,Nidorinaニドリーナ,30,1,poison,NT2,0,20.0,0.8,70,62,67,55,55,56,365,120.0,1059860,70,5120,0.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Nidoqueen,Nidoqueenニドクイン,31,1,poison,ground,1,60.0,1.3,90,92,87,75,85,76,505,45.0,1059860,70,5120,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,0
Nidoran♂,Nidoran?ニドラン♂,32,1,poison,NT2,0,9.0,0.5,46,57,40,40,40,50,273,235.0,1059860,70,5120,100.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Nidorino,Nidorinoニドリーノ,33,1,poison,NT2,0,19.5,0.9,61,72,57,55,55,65,365,120.0,1059860,70,5120,100.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Nidoking,Nidokingニドキング,34,1,poison,ground,1,62.0,1.4,81,102,77,85,75,85,505,45.0,1059860,70,5120,100.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,0
Clefairy,Pippiピッピ,35,1,fairy,NT2,0,7.5,0.6,70,45,48,60,65,35,323,150.0,800000,140,2560,24.6,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0
Clefable,Pixyピクシー,36,1,fairy,NT2,1,40.0,1.3,95,70,73,95,90,60,483,25.0,800000,140,2560,24.6,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0
Vulpix,Rokonロコン,37,1,fire,ice,0,9.9,0.6,38,41,40,50,65,65,299,190.0,1000000,70,5120,24.6,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Ninetales,Kyukonキュウコン,38,1,fire,ice,1,19.9,1.1,73,76,75,81,100,100,505,75.0,1000000,70,5120,24.6,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Jigglypuff,Purinプリン,39,1,normal,fairy,0,5.5,0.5,115,45,20,45,25,20,270,170.0,800000,70,2560,24.6,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0
Wigglytuff,Pukurinプクリン,40,1,normal,fairy,1,12.0,1.0,140,70,45,85,50,45,435,50.0,800000,70,2560,24.6,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0
Zubat,Zubatズバット,41,1,poison,flying,0,7.5,0.8,40,45,35,30,40,55,245,255.0,1000000,70,3840,50.0,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Golbat,Golbatゴルバット,42,1,poison,flying,0,55.0,1.6,75,80,70,65,75,90,455,90.0,1000000,70,3840,50.0,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Oddish,Nazonokusaナゾノクサ,43,1,grass,poison,0,5.4,0.5,45,50,55,75,65,30,320,255.0,1059860,70,5120,50.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0
Gloom,Kusaihanaクサイハナ,44,1,grass,poison,0,8.6,0.8,60,65,70,85,75,40,395,120.0,1059860,70,5120,50.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0
Vileplume,Ruffresiaラフレシア,45,1,grass,poison,1,18.6,1.2,75,80,85,110,90,50,490,45.0,1059860,70,5120,50.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0
Paras,Parasパラス,46,1,bug,grass,0,5.4,0.3,35,70,55,45,55,25,285,190.0,1000000,70,5120,50.0,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,0
Parasect,Parasectパラセクト,47,1,bug,grass,1,29.5,1.0,60,95,80,60,80,30,405,75.0,1000000,70,5120,50.0,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,0
Venonat,Kongpangコンパン,48,1,bug,poison,0,30.0,1.0,60,55,50,40,55,45,305,190.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Venomoth,Morphonモルフォン,49,1,bug,poison,1,12.5,1.5,70,65,60,90,75,90,450,75.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Diglett,Digdaディグダ,50,1,ground,ground,0,0.8,0.2,10,55,25,35,45,95,265,255.0,1000000,70,5120,50.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0
Dugtrio,Dugtrioダグトリオ,51,1,ground,ground,1,33.3,0.7,35,100,50,50,70,120,425,50.0,1000000,70,5120,50.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0
Meowth,Nyarthニャース,52,1,normal,dark,0,4.2,0.4,40,45,35,40,40,90,290,255.0,1000000,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Persian,Persianペルシアン,53,1,normal,dark,1,32.0,1.0,65,70,60,65,65,115,440,90.0,1000000,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Psyduck,Koduckコダック,54,1,water,NT2,0,19.6,0.8,50,52,48,65,50,55,320,190.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Golduck,Golduckゴルダック,55,1,water,NT2,1,76.6,1.7,80,82,78,95,80,85,500,75.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Mankey,Mankeyマンキー,56,1,fighting,NT2,0,28.0,0.5,40,80,35,35,45,70,305,190.0,1000000,70,5120,50.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0
Primeape,Okorizaruオコリザル,57,1,fighting,NT2,0,32.0,1.0,65,105,60,60,70,95,455,75.0,1000000,70,5120,50.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0
Growlithe,Gardieガーディ,58,1,fire,NT2,0,19.0,0.7,55,70,45,70,50,60,350,190.0,1250000,70,5120,75.4,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Arcanine,Windieウインディ,59,1,fire,NT2,1,155.0,1.9,90,110,80,100,80,95,555,75.0,1250000,70,5120,75.4,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Poliwag,Nyoromoニョロモ,60,1,water,NT2,0,12.4,0.6,40,50,40,40,40,90,300,255.0,1059860,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Poliwhirl,Nyorozoニョロゾ,61,1,water,NT2,0,20.0,1.0,65,65,65,50,50,90,385,120.0,1059860,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Poliwrath,Nyorobonニョロボン,62,1,water,fighting,1,54.0,1.3,90,95,95,70,90,70,510,45.0,1059860,70,5120,50.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,0
Abra,Caseyケーシィ,63,1,psychic,NT2,0,19.5,0.9,25,20,15,105,55,90,310,200.0,1059860,70,5120,75.4,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0
Kadabra,Yungererユンゲラー,64,1,psychic,NT2,0,56.5,1.3,40,35,30,120,70,105,400,100.0,1059860,70,5120,75.4,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0
Alakazam,Foodinフーディン,65,1,psychic,NT2,1,48.0,1.5,55,50,45,135,95,120,500,50.0,1059860,70,5120,75.4,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0
Machop,Wanrikyワンリキー,66,1,fighting,NT2,0,19.5,0.8,70,80,50,35,35,35,305,180.0,1059860,70,5120,75.4,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0
Machoke,Gorikyゴーリキー,67,1,fighting,NT2,0,70.5,1.5,80,100,70,50,60,45,405,90.0,1059860,70,5120,75.4,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0
Machamp,Kairikyカイリキー,68,1,fighting,NT2,1,130.0,1.6,90,130,80,65,85,55,505,45.0,1059860,70,5120,75.4,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0
Bellsprout,Madatsubomiマダツボミ,69,1,grass,poison,0,4.0,0.7,50,75,35,70,30,40,300,255.0,1059860,70,5120,50.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0
Weepinbell,Utsudonウツドン,70,1,grass,poison,0,6.4,1.0,65,90,50,85,45,55,390,120.0,1059860,70,5120,50.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0
Victreebel,Utsubotウツボット,71,1,grass,poison,1,15.5,1.7,80,105,65,100,70,70,490,45.0,1059860,70,5120,50.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0
Tentacool,Menokurageメノクラゲ,72,1,water,poison,0,45.5,0.9,40,40,35,50,100,70,335,190.0,1250000,70,5120,50.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,0
Tentacruel,Dokukurageドククラゲ,73,1,water,poison,1,55.0,1.6,80,70,65,80,120,100,515,60.0,1250000,70,5120,50.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,0
Geodude,Isitsubuteイシツブテ,74,1,rock,ground,0,20.0,0.4,40,80,100,30,30,20,300,255.0,1059860,70,3840,50.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,0
Graveler,Goloneゴローン,75,1,rock,ground,0,105.0,1.0,55,95,115,45,45,35,390,120.0,1059860,70,3840,50.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,0
Golem,Golonyaゴローニャ,76,1,rock,ground,1,300.0,1.4,80,120,130,55,65,45,495,45.0,1059860,70,3840,50.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,0
Ponyta,Ponytaポニータ,77,1,fire,NT2,0,30.0,1.0,50,85,55,65,65,90,410,190.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Rapidash,Gallopギャロップ,78,1,fire,NT2,1,95.0,1.7,65,100,70,80,80,105,500,60.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Slowpoke,Yadonヤドン,79,1,water,psychic,0,36.0,1.2,90,65,65,40,40,15,315,190.0,1000000,70,5120,50.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0
Slowbro,Yadoranヤドラン,80,1,water,psychic,1,78.5,1.6,95,75,110,100,80,30,490,75.0,1000000,70,5120,50.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0
Magnemite,Coilコイル,81,1,electric,steel,0,6.0,0.3,25,35,70,95,55,45,325,190.0,1000000,70,5120,0.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,0
Magneton,Rarecoilレアコイル,82,1,electric,steel,0,60.0,1.0,50,60,95,120,70,70,465,60.0,1000000,70,5120,0.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,0
Farfetch'd,Kamonegiカモネギ,83,1,normal,flying,1,15.0,0.8,52,90,55,58,62,60,377,45.0,1000000,70,5120,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Doduo,Dodoドードー,84,1,normal,flying,0,39.2,1.4,35,85,45,35,35,75,310,190.0,1000000,70,5120,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Dodrio,Dodorioドードリオ,85,1,normal,flying,1,85.2,1.8,60,110,70,60,60,110,470,45.0,1000000,70,5120,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Seel,Pawouパウワウ,86,1,water,NT2,0,90.0,1.1,65,45,55,45,70,45,325,190.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Dewgong,Jugonジュゴン,87,1,water,ice,1,120.0,1.7,90,70,80,70,95,70,475,75.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,0
Grimer,Betbeterベトベター,88,1,poison,poison,0,30.0,0.9,80,80,50,40,50,25,325,190.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Muk,Betbetonベトベトン,89,1,poison,poison,1,30.0,1.2,105,105,75,65,100,50,500,75.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Shellder,Shellderシェルダー,90,1,water,NT2,0,4.0,0.3,30,65,100,45,25,40,305,190.0,1250000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Cloyster,Parshenパルシェン,91,1,water,ice,1,132.5,1.5,50,95,180,85,45,70,525,60.0,1250000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,0
Gastly,Ghosゴース,92,1,ghost,poison,0,0.1,1.3,30,35,30,100,35,80,310,190.0,1059860,70,5120,50.0,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,0
Haunter,Ghostゴースト,93,1,ghost,poison,0,0.1,1.6,45,50,45,115,55,95,405,90.0,1059860,70,5120,50.0,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,0
Gengar,Gangarゲンガー,94,1,ghost,poison,1,40.5,1.5,60,65,60,130,75,110,500,45.0,1059860,70,5120,50.0,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,0
Onix,Iwarkイワーク,95,1,rock,ground,0,210.0,8.8,35,45,160,30,45,70,385,45.0,1000000,70,6400,50.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,0
Drowzee,Sleepeスリープ,96,1,psychic,NT2,0,32.4,1.0,60,48,45,43,90,42,328,190.0,1000000,70,5120,50.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0
